location,total_vaccinations,people_vaccinated,total_boosters,population,continent,latitude,longitude,total_cases,total_deaths,new_cases,new_deaths
Ecuador,32402150.0,14795402.0,4543716.0,17888474.0,South America,-1.831239,-78.183406,231547433.0,13377354.0,855233.0,22678.0
Egypt,71361630.0,41192990.0,1393678.0,104258327.0,Africa,26.820553,30.802498,146863321.0,8223709.0,493658.0,24257.0
El Salvador,10234262.0,4569063.0,1406719.0,6518500.0,North America,13.794185,-88.89653,45342184.0,1367568.0,156456.0,4093.0
Equatorial Guinea,467504.0,259685.0,,1449891.0,Africa,1.650801,10.267895,5355907.0,73067.0,15894.0,183.0
Estonia,1963754.0,858329.0,450611.0,1325188.0,Europe,58.595272,25.013607,74766094.0,588286.0,523279.0,2329.0
Ethiopia,28705008.0,23960213.0,,117876226.0,Africa,9.145,40.489673,142997852.0,2279372.0,469095.0,7482.0
Fiji,1289152.0,668239.0,109310.0,902899.0,Oceania,-16.578193,179.414413,12286522.0,148737.0,64060.0,836.0
Finland,11488408.0,4459574.0,2788958.0,5548361.0,Europe,61.92411,25.748151,78122642.0,607649.0,703052.0,2573.0
France,141204880.0,53990502.0,35899066.0,67422000.0,Europe,46.227638,2.213749,3601366029.0,56596953.0,23710590.0,140229.0
French Polynesia,364797.0,183990.0,,282534.0,Oceania,-17.679742,-149.406843,14982859.0,160792.0,69595.0,643.0
Gabon,545642.0,299993.0,1076.0,2278829.0,Africa,-0.803689,11.609444,13893382.0,90691.0,47564.0,303.0
Gambia,362079.0,330027.0,,2486937.0,Africa,13.443182,-15.310139,3934036.0,124603.0,12063.0,365.0
Georgia,2833144.0,1581848.0,80818.0,3979773.0,Asia,42.315407,43.356892,265793199.0,3475746.0,1629930.0,16456.0
Germany,171023885.0,63571398.0,48096475.0,83900471.0,Europe,51.165691,10.451526,2256232595.0,41993083.0,16589967.0,125148.0
Ghana,12637542.0,8793591.0,133563.0,31732128.0,Africa,7.946527,-1.023194,56708991.0,463267.0,160667.0,1444.0
Gibraltar,114204.0,42010.0,31228.0,33691.0,Europe,36.137741,-5.345374,2833496.0,39949.0,15922.0,101.0
Greece,20314595.0,7879640.0,5451605.0,10370747.0,Europe,39.074208,21.824312,321165667.0,6221460.0,2561503.0,26366.0
Greenland,79745.0,41243.0,,56868.0,North America,71.706936,-42.604303,797707.0,546.0,11833.0,21.0
Grenada,86011.0,43005.0,5502.0,113015.0,North America,12.262776,-61.604171,1466089.0,33954.0,13707.0,216.0
